,kepid,koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
4967,9837544,0,71.661915163,172.90745980000003,0.612,6.33708,323610.0,55.04,365.0,4.18,1804.1,5075.0,4.497,0.824,294.48639,46.676151000000004,15.167
4969,6469946,0,0.7158023090000001,131.690348,1.251,1.5586,2208.6,25.52,1656.0,1787.96,137.7,5239.0,4.6,0.757,298.9068,41.835629,15.579
4970,6947164,0,70.58284717,190.4997847,0.882,8.811689999999999,150930.0,50.88,435.0,8.45,2424.0,5973.0,4.516,0.904,291.35696,42.493641,14.624
4971,6233903,0,2.9953573589999998,132.79698100000002,0.843,6.57901,172400.0,112.12,1791.0,2437.81,1467.6,5949.0,3.892,1.94,299.13101,41.589901,16.455
4972,7212066,0,3.840485025,134.44638600000002,1.189,2.8592,31353.0,39.38,1077.0,318.66,259.4,5731.0,4.532,0.823,295.21167,42.786289000000004,15.26
4975,6675060,0,10.443341795,133.62903,0.707,3.9407699999999997,145290.0,44.35,892.0,149.21,842.1,6137.0,4.421,1.005,286.2449,42.146431,16.51
4977,10518735,0,19.515013291,136.21594199999998,0.692,4.59379,256440.0,53.03,588.0,28.31,1018.8,5349.0,4.531000000000001,0.851,283.91565,47.784569,16.739
4981,6960487,0,34.525990182,150.102207,1.087,4.47294,67161.0,54.35,607.0,32.12,1008.1,6123.0,4.396,1.049,295.20386,42.43045,15.142000000000001
4983,6309264,0,14.2821417,136.32946,0.012,2.068,224.9,1.08,625.0,36.03,8.7,5374.0,4.588,0.726,298.1897,41.679192,15.13
4984,7021177,0,18.64532882,147.207512,0.454,3.63893,433820.0,61.81,656.0,43.71,1256.8,5931.0,4.553999999999999,0.845,287.63705,42.530819,15.511
4985,7122259,0,20.882125422,146.5689626,0.743,8.03365,233450.0,66.27,737.0,69.67,3506.5,6335.0,4.427,1.072,293.14578,42.624161,15.6
